Epoch,Epoch_Time,Total_Epoch_Time,Active_Workers,Accuracy
1,176.7084,176.7084,2,17.7600
2,173.6415,387.6193,2,23.2100
3,171.6599,595.8995,2,24.3900
4,172.7740,804.6226,2,25.6400
5,172.9461,1015.2008,2,28.8900
6,171.1060,1223.2553,2,31.0000
7,174.1047,1434.9016,2,32.0100
8,175.0141,1647.8111,2,33.8700
9,175.7485,1823.5596,2,35.1400
